"player_id","player_name","Pos","salmil","G","GS","MP","TRB","AST","BLK","PTS","pts40_ind","AST40","BLK40","TRB40","GMP","Pts_G"
1,"Alex Abrines","SG",3.667645,31,2,588,48,20,6,165,11.2244897959184,1.36054421768708,0.408163265306122,3.26530612244898,18.9677419354839,5.32258064516129
2,"Quincy Acy","PF",0.213948,10,0,123,25,8,4,17,5.52845528455285,2.60162601626016,1.30081300813008,8.13008130081301,12.3,1.7
3,"Steven Adams","C",24.157304,80,80,2669,760,124,76,1108,16.6054702135631,1.85837392281753,1.13900337204946,11.3900337204946,33.3625,13.85
4,"Jaylen Adams","PG",0.236854,34,1,428,60,65,5,108,10.0934579439252,6.07476635514019,0.467289719626168,5.60747663551402,12.5882352941176,3.17647058823529
5,"Bam Adebayo","C",2.95584,82,28,1913,597,184,65,729,15.2430737062206,3.84736016727653,1.35912179822269,12.4830109775222,23.3292682926829,8.89024390243902
6,"Deng Adel","SF",0.07725,19,3,194,19,5,4,32,6.5979381443299,1.03092783505155,0.824742268041237,3.91752577319588,10.2105263157895,1.68421052631579
8,"DeVaughn Akoon-Purcell","SG",0.07725,7,0,22,4,6,0,7,12.7272727272727,10.9090909090909,0,7.27272727272727,3.14285714285714,1
10,"LaMarcus Aldridge","C",22.347015,81,81,2687,744,194,107,1727,25.7089691105322,2.88797915891329,1.59285448455527,11.0755489393376,33.1728395061728,21.320987654321
11,"Rawle Alkins","SG",0.07725,10,1,120,26,13,0,37,12.3333333333333,4.33333333333333,0,8.66666666666667,12,3.7
12,"Grayson Allen","SG",2.07696,38,2,416,23,25,6,211,20.2884615384615,2.40384615384615,0.576923076923077,2.21153846153846,10.9473684210526,5.55263157894737
13,"Jarrett Allen","C",2.03412,80,80,2096,672,110,120,873,16.6603053435114,2.09923664122137,2.29007633587786,12.824427480916,26.2,10.9125
14,"Kadeem Allen","SG",0.07725,19,1,416,51,76,4,189,18.1730769230769,7.30769230769231,0.384615384615385,4.90384615384615,21.8947368421053,9.94736842105263
15,"Al-Farouq Aminu","PF",6.957105,81,81,2292,610,104,33,760,13.2635253054101,1.81500872600349,0.575916230366492,10.6457242582897,28.2962962962963,9.38271604938272
16,"Ryan Anderson","PF",20.421546,50,16,644,108,38,2,126,7.82608695652174,2.36024844720497,0.124223602484472,6.70807453416149,12.88,2.52
17,"Kyle Anderson","SF",8.641,43,40,1281,251,128,37,346,10.8040593286495,3.99687743950039,1.15534738485558,7.8376268540203,29.7906976744186,8.04651162790698
18,"Justin Anderson","SF",2.516047,48,4,463,84,23,13,178,15.377969762419,1.98704103671706,1.1231101511879,7.25701943844492,9.64583333333333,3.70833333333333
19,"Ike Anigbogu","C",1.349383,3,0,6,3,1,1,0,0,6.66666666666667,6.66666666666667,20,2,0
20,"Giannis Antetokounmpo","PF",24.157304,72,72,2358,898,424,110,1994,33.8252756573367,7.19253604749788,1.86598812553011,15.2332485156913,32.75,27.6944444444444
21,"Kostas Antetokounmpo","PF",0.07725,2,0,11,1,0,0,2,7.27272727272727,0,0,3.63636363636364,5.5,1
22,"Carmelo Anthony","PF",2.393887,10,2,294,54,5,7,134,18.2312925170068,0.680272108843538,0.952380952380952,7.3469387755102,29.4,13.4
23,"OG Anunoby","SF",1.95276,67,6,1352,197,47,22,469,13.8757396449704,1.3905325443787,0.650887573964497,5.82840236686391,20.1791044776119,7
24,"Ryan Arcidiacono","PG",1.349383,81,32,1961,219,269,4,544,11.0963793982662,5.48699643039266,0.0815910249872514,4.46710861805201,24.2098765432099,6.71604938271605
25,"Trevor Ariza","SF",15,138,138,4698,742,504,42,1726,14.6956151553853,4.2911877394636,0.357598978288633,6.31758194976586,34.0434782608696,12.5072463768116
28,"DJ Augustin","PG",7.25,81,81,2269,203,426,4,948,16.7122080211547,7.50991626267078,0.0705156456588806,3.57866901718819,28.0123456790123,11.7037037037037
29,"Deandre Ayton","C",8.17584,71,70,2183,729,125,67,1159,21.2368300503894,2.29042601923958,1.22766834631241,13.3577645442052,30.7464788732394,16.3239436619718
30,"Dwayne Bacon","SG",1.378242,43,13,759,89,47,5,316,16.6534914361001,2.47694334650856,0.263504611330698,4.69038208168643,17.6511627906977,7.34883720930233
31,"Marvin Bagley","PF",7.31496,62,4,1567,471,62,59,923,23.5609444798979,1.58264199106573,1.50606253988513,12.0229738353542,25.2741935483871,14.8870967741935
32,"Ron Baker","SG",4.697823,30,0,304,22,30,2,28,3.68421052631579,3.94736842105263,0.263157894736842,2.89473684210526,10.1333333333333,0.933333333333333
33,"Wade Baldwin","PG",1.544951,16,0,94,15,12,2,30,12.7659574468085,5.1063829787234,0.851063829787234,6.38297872340426,5.875,1.875
34,"Lonzo Ball","PG",7.46196,47,45,1423,251,255,19,465,13.0709768095573,7.16795502459592,0.534082923401265,7.05551651440618,30.2765957446809,9.8936170212766
35,"Mo Bamba","C",4.87128,47,1,766,233,39,64,292,15.2480417754569,2.03655352480418,3.3420365535248,12.1671018276762,16.2978723404255,6.21276595744681
36,"Harrison Barnes","PF",24.107258,49,49,1584,207,62,11,866,21.8686868686869,1.56565656565657,0.277777777777778,5.22727272727273,32.3265306122449,17.6734693877551
36,"Harrison Barnes","PF-SF",24.107258,77,77,2533,361,115,13,1265,19.9763126727201,1.81602842479274,0.205290169759179,5.7007500986972,32.8961038961039,16.4285714285714
36,"Harrison Barnes","SF",24.107258,28,28,949,154,53,2,399,16.8177028451001,2.23393045310854,0.0842992623814542,6.49104320337197,33.8928571428571,14.25
